# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
16,5,-0.9999992066,0.0000000000,0.9999992066,3.2754920976e+11
16,1087,-0.9999992066,0.0000000000,-0.9999992904,3.2754920976e+11
17,4,0.0000000000,0.9999992066,0.9999977815,8.3120763698e+10
17,1082,0.0000000000,-0.9999992904,0.9999977815,3.8228098852e+11
18,3,0.0000000000,-0.9999977815,-0.9999992066,4.1298642124e+11
18,1081,0.0000000000,1.0000002963,-0.9999992066,1.1947870728e+12
19,1,0.0000000000,0.9999992066,-0.9999992066,3.2754920976e+11
19,1083,0.0000000000,-0.9999992904,-0.9999992066,3.2754920976e+11
20,2,0.0000000000,-0.9999977815,0.9999977815,1.4275161493e+11
20,1084,0.0000000000,1.0000002963,0.9999977815,1.4275161493e+11
21,9,0.9999992066,-0.9999992066,0.0000000000,3.2754920976e+11
21,1091,-0.9999992904,-0.9999992066,0.0000000000,3.2754920976e+11
22,10,-0.9999977815,0.9999977815,0.0000000000,3.2754920976e+11
22,1092,1.0000002963,0.9999977815,0.0000000000,3.2754920976e+11
23,12,0.9999992066,0.9999977815,0.0000000000,1.1947870728e+12
23,1090,-0.9999992904,0.9999977815,0.0000000000,1.1947870728e+12
24,11,-0.9999977815,-0.9999992066,0.0000000000,4.1298642124e+11
24,1089,1.0000002963,-0.9999992066,0.0000000000,1.1947870728e+12
25,139,0.0000000000,-0.9999992066,0.9999990389,2.0210164798e+11
25,977,0.0000000000,-0.9999992066,-0.9999996676,3.8228098852e+11
26,140,0.0000000000,0.9999977815,-1.0000002963,1.1059549655e+12
26,978,0.0000000000,0.9999977815,0.9999977815,1.1059549655e+12
27,138,0.0000000000,0.9999977815,0.9999990389,2.5587342005e+10
27,980,0.0000000000,0.9999977815,-0.9999996676,2.5587342005e+10
28,137,0.0000000000,-0.9999992066,-1.0000002963,1.4275161493e+11
28,979,0.0000000000,-0.9999992066,0.9999977815,1.4275161493e+11
29,136,0.9999990389,0.0000000000,-0.9999992066,1.1947870728e+12
29,974,-0.9999996676,0.0000000000,-0.9999992066,1.1947870728e+12
