#m,n,s_x,s_y,s_z,freq
1,19,0.0,-0.9999992065824562,0.9999992065824562,327549209757.35693
1,1097,0.0,-0.9999992065824562,-0.999999290409254,327549209757.35693
2,20,0.0,0.999997781526898,-0.999997781526898,1105954965478.2212
2,1098,0.0,0.999997781526898,1.0000002963308259,327549209757.35693
3,18,0.0,0.999997781526898,0.9999992065824562,412986421242.2942
3,1100,0.0,0.999997781526898,-0.999999290409254,1194787072770.2207
4,17,0.0,-0.9999992065824562,-0.999997781526898,1194787072770.2207
4,1099,0.0,-0.9999992065824562,1.0000002963308259,1194787072770.2207
5,16,0.9999992065824562,0.0,-0.9999992065824562,327549209757.35693
5,1094,-0.999999290409254,0.0,-0.9999992065824562,327549209757.35693
6,15,-0.999997781526898,0.0,0.999997781526898,327549209757.35693
6,1093,1.0000002963308259,0.0,0.999997781526898,327549209757.35693
7,13,0.9999992065824562,0.0,0.999997781526898,21504569934.776405
7,1095,-0.999999290409254,0.0,0.999997781526898,21504569934.776405
8,14,-0.999997781526898,0.0,-0.9999992065824562,412986421242.2942
8,1096,1.0000002963308259,0.0,-0.9999992065824562,1194787072770.2207
9,21,-0.9999992065824562,0.9999992065824562,0.0,327549209757.35693
9,1103,-0.9999992065824562,-0.999999290409254,0.0,327549209757.35693
10,22,0.999997781526898,-0.999997781526898,0.0,327549209757.35693
10,1104,0.999997781526898,1.0000002963308259,0.0,327549209757.35693
11,24,0.999997781526898,0.9999992065824562,0.0,412986421242.2942
11,1102,0.999997781526898,-0.999999290409254,0.0,1194787072770.2207
12,23,-0.9999992065824562,-0.999997781526898,0.0,83120763697.70837
12,1101,-0.9999992065824562,1.0000002963308259,0.0,382280988518.7265
13,7,-0.9999992065824562,0.0,-0.999997781526898,202101647981.51474
13,1085,-0.9999992065824562,0.0,1.0000002963308259,382280988518.7265
14,8,0.999997781526898,0.0,0.9999992065824562,412986421242.2942
14,1086,0.999997781526898,0.0,-0.999999290409254,1194787072770.2207
15,6,0.999997781526898,0.0,-0.999997781526898,327549209757.35693
15,1088,0.999997781526898,0.0,1.0000002963308259,327549209757.35693
16,5,-0.9999992065824562,0.0,0.9999992065824562,327549209757.35693
16,1087,-0.9999992065824562,0.0,-0.999999290409254,327549209757.35693
17,4,0.0,0.9999992065824562,0.999997781526898,83120763697.70837
17,1082,0.0,-0.999999290409254,0.999997781526898,382280988518.7265
18,3,0.0,-0.999997781526898,-0.9999992065824562,412986421242.2942
18,1081,0.0,1.0000002963308259,-0.9999992065824562,1194787072770.2207
19,1,0.0,0.9999992065824562,-0.9999992065824562,327549209757.35693
19,1083,0.0,-0.999999290409254,-0.9999992065824562,327549209757.35693
20,2,0.0,-0.999997781526898,0.999997781526898,142751614925.88324
20,1084,0.0,1.0000002963308259,0.999997781526898,142751614925.88324
21,9,0.9999992065824562,-0.9999992065824562,0.0,327549209757.35693
21,1091,-0.999999290409254,-0.9999992065824562,0.0,327549209757.35693
22,10,-0.999997781526898,0.999997781526898,0.0,327549209757.35693
22,1092,1.0000002963308259,0.999997781526898,0.0,327549209757.35693
23,12,0.9999992065824562,0.999997781526898,0.0,1194787072770.2207
23,1090,-0.999999290409254,0.999997781526898,0.0,1194787072770.2207
24,11,-0.999997781526898,-0.9999992065824562,0.0,412986421242.2942
24,1089,1.0000002963308259,-0.9999992065824562,0.0,1194787072770.2207
25,139,0.0,-0.9999992065824562,0.999999038928862,202101647981.51474
25,977,0.0,-0.9999992065824562,-0.9999996676298428,382280988518.7265
26,140,0.0,0.999997781526898,-1.0000002963308212,1105954965478.2212
26,978,0.0,0.999997781526898,0.9999977815269027,1105954965478.2212
27,138,0.0,0.999997781526898,0.999999038928862,25587342004.79826
27,980,0.0,0.999997781526898,-0.9999996676298428,25587342004.79826
28,137,0.0,-0.9999992065824562,-1.0000002963308212,142751614925.88324
28,979,0.0,-0.9999992065824562,0.9999977815269027,142751614925.88324
29,136,0.999999038928862,0.0,-0.9999992065824562,1194787072770.2207
29,974,-0.9999996676298428,0.0,-0.9999992065824562,1194787072770.2207
30,135,-1.0000002963308212,0.0,0.999997781526898,83120763697.70837
30,973,0.9999977815269027,0.0,0.999997781526898,382280988518.7265
31,133,0.999999038928862,0.0,0.999997781526898,38386525376.61379
31,975,-0.9999996676298428,0.0,0.999997781526898,38386525376.61379
32,134,-1.0000002963308212,0.0,-0.9999992065824562,412986421242.2942
32,976,0.9999977815269027,0.0,-0.9999992065824562,412986421242.2942
33,141,-0.9999992065824562,0.999999038928862,0.0,412986421242.2942
33,983,-0.9999992065824562,-0.9999996676298428,0.0,1194787072770.2207
34,142,0.999997781526898,-1.0000002963308212,0.0,412986421242.2942
34,984,0.999997781526898,0.9999977815269027,0.0,1194787072770.2207
35,144,0.999997781526898,0.999999038928862,0.0,412986421242.2942
35,982,0.999997781526898,-0.9999996676298428,0.0,412986421242.2942
36,143,-0.9999992065824562,-1.0000002963308212,0.0,21504569934.776405
36,981,-0.9999992065824562,0.9999977815269027,0.0,25587342004.79826
37,127,-0.9999992065824562,0.0,-1.0000002963308212,16095584074.76498
37,965,-0.9999992065824562,0.0,0.9999977815269027,16095584074.76498
38,128,0.999997781526898,0.0,0.999999038928862,1194787072770.2207
38,966,0.999997781526898,0.0,-0.9999996676298428,412986421242.2942
39,126,0.999997781526898,0.0,-1.0000002963308212,382280988518.7265
39,968,0.999997781526898,0.0,0.9999977815269027,382280988518.7265
40,125,-0.9999992065824562,0.0,0.999999038928862,1194787072770.2207
40,967,-0.9999992065824562,0.0,-0.9999996676298428,1194787072770.2207
41,124,0.0,0.999999038928862,0.999997781526898,83120763697.70837
41,962,0.0,-0.9999996676298428,0.999997781526898,83120763697.70837
42,123,0.0,-1.0000002963308212,-0.9999992065824562,25587342004.79826
42,961,0.0,0.9999977815269027,-0.9999992065824562,25587342004.79826
43,121,0.0,0.999999038928862,-0.9999992065824562,83120763697.70837
43,963,0.0,-0.9999996676298428,-0.9999992065824562,382280988518.7265
44,122,0.0,-1.0000002963308212,0.999997781526898,1194787072770.2207
44,964,0.0,0.9999977815269027,0.999997781526898,1194787072770.2207
45,129,0.999999038928862,-0.9999992065824562,0.0,412986421242.2942
45,971,-0.9999996676298428,-0.9999992065824562,0.0,1194787072770.2207
46,130,-1.0000002963308212,0.999997781526898,0.0,412986421242.2942
46,972,0.9999977815269027,0.999997781526898,0.0,1194787072770.2207
47,132,0.999999038928862,0.999997781526898,0.0,1712646170.052584
47,970,-0.9999996676298428,0.999997781526898,0.0,806352977.4689223
48,131,-1.0000002963308212,-0.9999992065824562,0.0,412986421242.2942
48,969,0.9999977815269027,-0.9999992065824562,0.0,412986421242.2942
49,259,0.0,-0.9999992065824562,0.999999038928862,38386525376.61379
49,857,0.0,-0.9999992065824562,-0.999999038928862,16095584074.76498
50,260,0.0,0.999997781526898,-1.0000002963308259,1105954965478.2212
50,858,0.0,0.999997781526898,1.0000002963308259,1105954965478.2212
51,258,0.0,0.999997781526898,0.999999038928862,412986421242.2942
51,860,0.0,0.999997781526898,-0.999999038928862,412986421242.2942
52,257,0.0,-0.9999992065824562,-1.0000002963308259,1194787072770.2207
52,859,0.0,-0.9999992065824562,1.0000002963308259,1194787072770.2207
53,256,0.999999038928862,0.0,-0.9999992065824562,327549209757.35693
53,854,-0.999999038928862,0.0,-0.9999992065824562,327549209757.35693
54,255,-1.0000002963308259,0.0,0.999997781526898,1194787072770.2207
